county,state,population,last_week_deaths,population/deaths(min 1)
Dukes_and_Nantucket,Massachusetts,0,0,0
Weber-Morgan,Utah,0,0,0
Michigan_Department_of_Corrections_(MDOC),Michigan,0,14,0
Federal_Correctional_Institution_(FCI),Michigan,0,2,0
Bear_River,Utah,0,0,0
Central_Utah,Utah,0,0,0
Southeast_Utah,Utah,0,0,0
Southwest_Utah,Utah,0,1,0
TriCounty,Utah,0,0,0
Kalawao,Hawaii,86,0,0.86
Loving,Texas,169,0,1.69
King,Texas,272,0,2.72
Kenedy,Texas,404,0,4.04
Arthur,Nebraska,463,0,4.63
Blaine,Nebraska,465,0,4.65
Petroleum,Montana,487,0,4.87
McPherson,Nebraska,494,0,4.94
Yakutat,Alaska,579,0,5.79
Grant,Nebraska,623,0,6.23
Harding,New_Mexico,625,0,6.25
Borden,Texas,654,0,6.54
Loup,Nebraska,664,0,6.64
Hooker,Nebraska,682,0,6.82
Treasure,Montana,696,0,6.96
Thomas,Nebraska,722,0,7.22
San_Juan,Colorado,728,0,7.28
McMullen,Texas,743,0,7.43
Banner,Nebraska,745,0,7.45
Logan,Nebraska,748,0,7.48
Slope,North_Dakota,750,0,7.5
Kent,Texas,762,0,7.62
Mineral,Colorado,769,0,7.69
Terrell,Texas,776,0,7.76
Wheeler,Nebraska,783,0,7.83
Keya_Paha,Nebraska,806,0,8.06
Hinsdale,Colorado,820,0,8.2
Golden_Valley,Montana,821,0,8.21
Bristol_Bay,Alaska,836,0,8.36
Clark,Idaho,845,0,8.45
Roberts,Texas,854,0,8.54
Esmeralda,Nevada,873,0,8.73
Jones,South_Dakota,903,0,9.03
Hayes,Nebraska,922,0,9.22
Billings,North_Dakota,928,0,9.28
Daggett,Utah,950,0,9.5
Wibaux,Montana,969,0,9.69
Prairie,Montana,1077,0,10.77
Camas,Idaho,1106,0,11.06
Alpine,California,1129,0,11.29
Foard,Texas,1155,0,11.55
Sioux,Nebraska,1166,0,11.66
Skagway,Alaska,1183,0,11.83
Motley,Texas,1200,0,12
Greeley,Kansas,1232,0,12.32
Carter,Montana,1252,0,12.52
Garfield,Montana,1258,0,12.58
Sterling,Texas,1291,0,12.91
Harding,South_Dakota,1298,0,12.98
Hyde,South_Dakota,1301,0,13.01
Webster,Georgia,2607,2,13.035
Sheridan,North_Dakota,1315,0,13.15
Issaquena,Mississippi,1327,0,13.27
Wheeler,Oregon,1332,0,13.32
Stonewall,Texas,1350,0,13.5
Rock,Nebraska,1357,0,13.57
Campbell,South_Dakota,1376,0,13.76
Sully,South_Dakota,1391,0,13.91
Jackson,Colorado,1392,0,13.92
Cottle,Texas,1398,0,13.98
Kiowa,Colorado,1406,0,14.06
Glasscock,Texas,1409,0,14.09
Piute,Utah,1479,0,14.79
Throckmorton,Texas,1501,0,15.01
Wallace,Kansas,1518,0,15.18
Lane,Kansas,1535,0,15.35
Irion,Texas,1536,0,15.36
Taliaferro,Georgia,1537,0,15.37
Briscoe,Texas,1546,0,15.46
Lake_and_Peninsula,Alaska,1592,0,15.92
McCone,Montana,1664,0,16.64
Powder_River,Montana,1682,0,16.82
Daniels,Montana,1690,0,16.9
Dundy,Nebraska,1693,0,16.93
Comanche,Kansas,1700,0,17
De_Baca,New_Mexico,1748,0,17.48
Golden_Valley,North_Dakota,1761,0,17.61
Sherman,Oregon,1780,0,17.8
Butts,Georgia,24936,14,17.8114
Hodgeman,Kansas,1794,0,17.94
Deuel,Nebraska,1794,0,17.94
Cheyenne,Colorado,1831,0,18.31
Garden,Nebraska,1837,0,18.37
Logan,North_Dakota,1850,0,18.5
Meagher,Montana,1862,0,18.62
Hamilton,Nebraska,9324,5,18.648
Armstrong,Texas,1887,0,18.87
Steele,North_Dakota,1890,0,18.9
Haakon,South_Dakota,1899,0,18.99
Gilliam,Oregon,1912,0,19.12
Boyd,Nebraska,1919,0,19.19
Edwards,Texas,1932,0,19.32
Oliver,North_Dakota,1959,0,19.59
Buffalo,South_Dakota,1962,0,19.62
Garfield,Nebraska,1969,0,19.69
Gosper,Nebraska,1990,0,19.9
Clark,Kansas,1994,0,19.94
Stanton,Kansas,2006,0,20.06
Judith_Basin,Montana,2007,0,20.07
Worth,Missouri,2013,0,20.13
Jerauld,South_Dakota,2013,0,20.13
Eureka,Nevada,2029,0,20.29
Early,Georgia,10190,5,20.38
Dolores,Colorado,2055,0,20.55
Mellette,South_Dakota,2061,0,20.61
Denali,Alaska,2097,0,20.97
Robertson,Kentucky,2108,0,21.08
Oldham,Texas,2112,0,21.12
Burke,North_Dakota,2115,0,21.15
Keweenaw,Michigan,2116,0,21.16
Wichita,Kansas,2119,0,21.19
Wheatland,Montana,2126,0,21.26
Cimarron,Oklahoma,2137,0,21.37
Menard,Texas,2138,0,21.38
Hoonah-Angoon,Alaska,2148,0,21.48
Potter,South_Dakota,2153,0,21.53
Culberson,Texas,2171,0,21.71
Towner,North_Dakota,2189,0,21.89
Highland,Virginia,2190,0,21.9
Dickens,Texas,2211,0,22.11
Adams,North_Dakota,2216,0,22.16
