MSA,population,last_week_deaths,estimated_active_cases(min 50),estimated_cases_per_day,fast_tests_per_day,initial_active_tracers,tests_to_clear,population/estimated_cases
SACRAMENTO__CA,2143230,1,100,14,280,70,10000,21432.3
PROVIDENCE-WARWICK-PAWTUCKET__RI,1059361,0,50,7,140,35,5000,21187.2
TENNESSEE,1929652,1,100,14,280,70,10000,19296.5
UTAH,785706,0,50,7,140,35,5000,15714.1
CALIFORNIA,1234247,1,100,14,280,70,10000,12342.5
MELBOURNE-TITUSVILLE-PALM_BAY__FL,601942,0,50,7,140,35,5000,12038.8
FRESNO__CA,1156428,1,100,14,280,70,10000,11564.3
CHATTANOOGA__TN-GA,550168,0,50,7,140,35,5000,11003.4
FAYETTEVILLE-SPRINGDALE-ROGERS__AR,518328,0,50,7,140,35,5000,10366.6
SOUTH_DAKOTA,494480,0,50,7,140,35,5000,9889.6
SANTA_ROSA__CA,494336,0,50,7,140,35,5000,9886.72
JOHNSON_CITY-KINGSPORT-BRISTOL__TN-VA,494089,0,50,7,140,35,5000,9881.78
HUNTSVILLE__AL,471824,0,50,7,140,35,5000,9436.48
HAWAII,441309,0,50,7,140,35,5000,8826.18
KNOXVILLE__TN,852669,1,100,14,280,70,10000,8526.69
SPRINGFIELD__MO,421273,0,50,7,140,35,5000,8425.46
APPLETON-OSHKOSH-NEENAH__WI,409881,0,50,7,140,35,5000,8197.62
WYOMING,399401,0,50,7,140,35,5000,7988.02
EUGENE-SPRINGFIELD__OR,382067,0,50,7,140,35,5000,7641.34
STOCKTON-LODI__CA,762148,1,100,14,280,70,10000,7621.48
NORTH_DAKOTA,379652,0,50,7,140,35,5000,7593.04
WILMINGTON__NC,377293,0,50,7,140,35,5000,7545.86
FORT_COLLINS-LOVELAND__CO,356899,0,50,7,140,35,5000,7137.98
MONTANA,706512,1,100,14,280,70,10000,7065.12
LINCOLN__NE,319090,0,50,7,140,35,5000,6381.8
MISSOURI,1855885,3,300,42,840,210,30000,6186.28
LEXINGTON__KY,610043,1,100,14,280,70,10000,6100.43
NEVADA,295399,0,50,7,140,35,5000,5907.98
VALLEJO-FARIFIELD-NAPA__CA,585387,1,100,14,280,70,10000,5853.87
OLYMPIA__WA,290536,0,50,7,140,35,5000,5810.72
ANCHORAGE_AK,288000,0,50,7,140,35,5000,5760
SAN_LUIS_OBISPO-ATASCADERO-PASO_ROBLES__CA,283111,0,50,7,140,35,5000,5662.22
CLARKSVILLE-HOPKINSVILLE__TN-KY,279454,0,50,7,140,35,5000,5589.08
MERCED__CA,277680,0,50,7,140,35,5000,5553.6
OREGON,1095682,2,200,28,560,140,20000,5478.41
MADISON__WI,546695,1,100,14,280,70,10000,5466.95
SANTA_CRUZ-WATSONVILLE__CA,273213,0,50,7,140,35,5000,5464.26
BREMERTON__WA,271473,0,50,7,140,35,5000,5429.46
TYLER__TX,232751,0,50,7,140,35,5000,4655.02
FORT_SMITH__AR-OK,232653,0,50,7,140,35,5000,4653.06
BRYAN-COLLEGE_STATION__TX,229211,0,50,7,140,35,5000,4584.22
LAFAYETTE__IN,228131,0,50,7,140,35,5000,4562.62
ROANOKE__VA,226748,0,50,7,140,35,5000,4534.96
SANTA_BARBARA-SANTA_MARIA-LOMPOC__CA,446499,1,100,14,280,70,10000,4464.99
MEDFORD-ASHLAND__OR,220944,0,50,7,140,35,5000,4418.88
KILLEEN-TEMPLE__TX,438875,1,100,14,280,70,10000,4388.75
CHICO-PARADISE__CA,219186,0,50,7,140,35,5000,4383.72
MCALLEN-EDINBURG-MISSION__TX,868707,2,200,28,560,140,20000,4343.54
SALINAS__CA,434061,1,100,14,280,70,10000,4340.61
YUMA__AZ,213787,0,50,7,140,35,5000,4275.74
VERMONT,403578,1,100,14,280,70,10000,4035.78
BILOXI-GULFPORT-PASCAGOULA__MS,399329,1,100,14,280,70,10000,3993.29
ATHENS__GA,198491,0,50,7,140,35,5000,3969.82
SAN_ANTONIO__TX,2377680,6,600,85,1700,425,60000,3962.8
JACKSONVILLE__NC,197938,0,50,7,140,35,5000,3958.76
HICKORY-MORGANTON-LENOIR__NC,369711,1,100,14,280,70,10000,3697.11
MINNESOTA,1465339,4,400,57,1140,285,40000,3663.35
OCALA__FL,365579,1,100,14,280,70,10000,3655.79
GREENVILLE__NC,180742,0,50,7,140,35,5000,3614.84
COLUMBIA__MO,180463,0,50,7,140,35,5000,3609.26
COLORADO_SPRINGS___CO,720403,2,200,28,560,140,20000,3602.01
REDDING__CA,180080,0,50,7,140,35,5000,3601.6
JOPLIN__MO,179564,0,50,7,140,35,5000,3591.28
TOPEKA__KS,176875,0,50,7,140,35,5000,3537.5
YUBA_CITY__CA,175639,0,50,7,140,35,5000,3512.78
PEORIA-PEKIN__IL,349441,1,100,14,280,70,10000,3494.41
ODESSA-MIDLAND__TX,343055,1,100,14,280,70,10000,3430.55
SANTA_FE__NM,169727,0,50,7,140,35,5000,3394.54
TALLAHASSEE__FL,339242,1,100,14,280,70,10000,3392.42
EAU_CLAIRE__WI,169304,0,50,7,140,35,5000,3386.08
LYNCHBURG__VA,165487,0,50,7,140,35,5000,3309.74
HONOLULU__HI,974563,3,300,42,840,210,30000,3248.54
STATE_COLLEGE__PA,162385,0,50,7,140,35,5000,3247.7
PROVO-OREM__UT,636235,2,200,28,560,140,20000,3181.18
GRAND_JUNCTION__CO,154210,0,50,7,140,35,5000,3084.2
DECATUR__AL,152603,0,50,7,140,35,5000,3052.06
BANGOR__ME,152148,0,50,7,140,35,5000,3042.96
HUNTINGTON-ASHLAND__WV-KY-OH,299423,1,100,14,280,70,10000,2994.23
SALT_LAKE_CITY-OGDEN__UT,1776131,6,600,85,1700,425,60000,2960.22
FLORENCE__AL,147970,0,50,7,140,35,5000,2959.4
ORLANDO__FL,2608147,9,900,128,2560,640,90000,2897.94
VENTURA__CA,846006,3,300,42,840,210,30000,2820.02
WICHITA_FALLS__TX,140783,0,50,7,140,35,5000,2815.66
LA_CROSSE__WI-MN,136616,0,50,7,140,35,5000,2732.32
SHERMAN-DENISON__TX,136212,0,50,7,140,35,5000,2724.24
WAUSAU__WI,135692,0,50,7,140,35,5000,2713.84
NORFOLK-VIRGINIA_BEACH-NEWPORT_NEWS__VA-NC,268128,1,100,14,280,70,10000,2681.28
BISMARCK__ND,126990,0,50,7,140,35,5000,2539.8
JAMESTOWN__NY,126903,0,50,7,140,35,5000,2538.06
LAWRENCE__KS,122259,0,50,7,140,35,5000,2445.18
ALTOONA__PA,121829,0,50,7,140,35,5000,2436.58
DULUTH-SUPERIOR__MN-WI,242220,1,100,14,280,70,10000,2422.2
MISSOULA__MT,119600,0,50,7,140,35,5000,2392
SAN_ANGELO__TX,119200,0,50,7,140,35,5000,2384
BOISE_CITY__ID,711436,3,300,42,840,210,30000,2371.45
CONNECTICUT,116782,0,50,7,140,35,5000,2335.64
STEUBENVILLE-WEIRTON__OH-WV,116074,0,50,7,140,35,5000,2321.48
SHEBOYGAN__WI,115340,0,50,7,140,35,5000,2306.8
JACKSON__TN,115281,0,50,7,140,35,5000,2305.62
BELLINGHAM__WA,229247,1,100,14,280,70,10000,2292.47
RAPID_CITY__SD,113775,0,50,7,140,35,5000,2275.5
ANNISTON_AL,113605,0,50,7,140,35,5000,2272.1
ORANGE_COUNTY__CA,3175692,14,1400,200,4000,1000,140000,2268.35
TACOMA__WA,904980,4,400,57,1140,285,40000,2262.45
BAKERSFIELD__CA,900202,4,400,57,1140,285,40000,2250.5
JONESBORO__AR,110332,0,50,7,140,35,5000,2206.64
SHARON__PA,109424,0,50,7,140,35,5000,2188.48
LAS_CRUCES__NM,218195,1,100,14,280,70,10000,2181.95
CORPUS_CHRISTI__TX,429024,2,200,28,560,140,20000,2145.12
ST._JOSEPH__MO,105076,0,50,7,140,35,5000,2101.52
CHAMPAIGN-URBANA__IL,209689,1,100,14,280,70,10000,2096.89
TUCSON__AZ,1047279,5,500,71,1420,355,50000,2094.56
JOHNSTOWN__PA,203639,1,100,14,280,70,10000,2036.39
ST._CLOUD__MN,201964,1,100,14,280,70,10000,2019.64
OAKLAND__CA,2824855,14,1400,200,4000,1000,140000,2017.75
GRAND_FORKS__ND-MN,100815,0,50,7,140,35,5000,2016.3
CHARLESTON-NORTH_CHARLESTON__SC,802122,4,400,57,1140,285,40000,2005.31
WASHINGTON,1197127,6,600,85,1700,425,60000,1995.21
CHEYENNE__WY,99500,0,50,7,140,35,5000,1990
IDAHO,987821,5,500,71,1420,355,50000,1975.64
CORVALLIS__OR,93053,0,50,7,140,35,5000,1861.06
KANSAS,1112973,6,600,85,1700,425,60000,1854.95
OMAHA__NE-IA,898706,5,500,71,1420,355,50000,1797.41
PORTLAND__ME,538500,3,300,42,840,210,30000,1795
POCATELLO__ID,87808,0,50,7,140,35,5000,1756.16
PANAMA_CITY__FL,174705,1,100,14,280,70,10000,1747.05
SPOKANE__WA,522798,3,300,42,840,210,30000,1742.66
ARIZONA,692683,4,400,57,1140,285,40000,1731.71
